skill,category
html,web
css,web
javascript,web
react,web
python,software developer
java,software developer
c++,software developer
sql,software developer
machine learning,ai
neural networks,ai
natural language processing,ai
tensorflow,ai
node.js,web
ruby on rails,web
git,software developer
c#,software developer
php,web
mongodb,software developer
data structures,software developer
deep learning,ai
express.js,web
angular,web
spring framework,software developer
restful api,software developer
django,web
vue.js,web
html5,web
css3,web
javascript es6,web
python flask,web
redux,web
c,software developer
swift,software developer
asp.net,software developer
postgresql,software developer
sqlite,software developer
kotlin,software developer
pytorch,ai
numpy,ai
pandas,ai
scikit-learn,ai
linux,software developer
agile development,software developer
jira,software developer
graphql,web
typescript,web
bootstrap,web
jquery,web
rust,software developer
go,software developer
.net,software developer
shell scripting,software developer
object-oriented programming,software developer
microservices architecture,software developer
amazon web services (aws),software developer
azure,software developer
google cloud platform (gcp),software developer
docker,software developer
kubernetes,software developer
jenkins,software developer
ci/cd,software developer
rest api,software developer
graphql api,software developer
mern stack,web
lamp stack,web
serverless architecture,software developer
junit,software developer
mocha,web
chai,web
jupyter notebooks,ai
matplotlib,ai
seaborn,ai
d3.js,web
flask,web
heroku,web
oauth,web
oauth2,web
blockchain,software developer
rpa (robotic process automation),ai
responsive design,web
webpack,web
sass,web
mysql,software developer
hibernate,software developer
ruby,software developer
design patterns,software developer
maven,software developer
gradle,software developer
scrum,software developer
kanban,software developer
microsoft azure,software developer
scala,software developer
android development,software developer
ios development,software developer
firebase,software developer
computer vision,ai
keras,ai
data mining,ai
big data,ai
hadoop,ai
spark,ai
smart contracts,web
cryptocurrency,web
react native,web
swiftui,software developer
unity,software developer
ar/vr development,software developer
nuxt.js,web
tailwind css,web
material-ui,web
webassembly,web
single page applications (spas),web
cross-platform development,software developer
bluetooth low energy (ble),software developer
internet of things (iot),software developer
restful web services,web
pytorch,ai
process,software developer
programming,software developer
communication,web
reports,web
biology,ai
spanish,web
aws,web
english,web
ai,ai
open source,software developer
international,web
testing,software developer
forecasting,ai
prototype,software developer
mathematics,ai
writing,web
r,ai
cloud,web
hardware,software developer
engineering,software developer
technical,software developer
database,software developer
statistics,ai
agile,software developer
supervising,software developer
french,web
sql,software developer
mxnet,ai
research,ai
coaching,web
research projects,ai
